StepCounter, Dynamics, ConfDynamics, NConDynamics,  Zeros,  Ones, ConfZeros, NConfZeros, ConfOnes, NConfOnes, RealRatioA, RealRatioB, Stress, ConfStress, NConStress, frameRate, NofClusters, MnClustersSize, MaxClustersSize, MinClustersSize, MnClustersDiam, MaxClustersDiam, MinClustersDiam, MnClustersBRat, MaxClustersBRat, MinClustersBRat, RatioA, RatioB, Noise, MaxStrengh, Distribution, Bias, N, Repetition, from, Walk1D
100,0,0,0,5054,571,5053,1,0,571,0,0.101688889,0.18231112,0.10135068,0.89750874,99.299385,83,63.21686747,5054,2,1.848149887,52.3259,1,0.992097396,1,0.3440839,0,0.1,0,100,0,0,75,10,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5074,551,0,0,0,0.097955556,0,0,0,89.508835,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,11,100, 0.0++0.05=0.501(1)
100,0.001066667,0,0.010889292,5077,548,5072,5,2,546,0,0.097955556,0.17582223,0.09711273,0.9006352,100.726074,74,70.95945946,5077,2,1.888639247,52.3259,1,0.99106197,1,0.33858576,0,0.1,0,100,0,0,75,11,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5078,547,0,0,0,0.097244444,0,0,0,91.372116,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,12,100, 0.0++0.05=0.501(1)
100,7.11E-04,0,0.007312615,5078,547,5076,2,2,545,0,0.097244444,0.17546667,0.09715931,0.9024223,99.40989,86,61.36046512,5078,2,1.805201257,52.3259,1,0.992267144,1,0.3349744,0,0.1,0,100,0,0,75,12,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5052,573,0,0,0,0.101866667,0,0,0,90.235016,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,13,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.005235602,5052,573,5051,1,1,572,0,0.101866667,0.1848,0.102880046,0.9070681,100.10957,76,68.71052632,5051,2,1.846595273,52.3259,1,0.991489439,1,0.3531974,0,0.1,0,100,0,0,75,13,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5084,541,0,0,0,0.096177778,0,0,0,90.94909,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,14,100, 0.0++0.05=0.501(1)
100,7.11E-04,0,0.007393715,5084,541,5081,3,3,538,0,0.096177778,0.17395556,0.09615952,0.905037,100.965385,71,73.94366197,5083,2,1.962737831,52.3259,1,0.990642656,1,0.33562857,0,0.1,0,100,0,0,75,14,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5103,522,0,0,0,0.0928,0,0,0,90.95919,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,15,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003831418,5102,523,5099,3,4,519,0,0.0928,0.1688,0.093058005,0.9092433,100.437805,71,74.18309859,5102,2,1.907646104,52.3259,1,0.990453896,1,0.32222658,0,0.1,0,100,0,0,75,15,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5041,584,0,0,0,0.103822222,0,0,0,90.73567,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,16,100, 0.0++0.05=0.501(1)
100,7.11E-04,0,0.006849315,5040,585,5036,4,5,580,0,0.103822222,0.18471111,0.10307974,0.88934076,100.24714,91,57.79120879,5040,2,1.821603043,52.3259,1,0.992857143,1,0.35,0,0.1,0,100,0,0,75,16,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5053,572,0,0,0,0.101688889,0,0,0,90.71087,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,17,100, 0.0++0.05=0.501(1)
100,0.001244444,0,0.012237762,5054,571,5051,3,2,569,0,0.101688889,0.18213333,0.10127647,0.89641607,100.72885,85,61.83529412,5054,2,1.836107795,52.3259,1,0.992339207,1,0.3488326,0,0.1,0,100,0,0,75,17,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5099,526,0,0,0,0.093511111,0,0,0,91.51657,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,18,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001901141,5099,526,5096,3,3,523,0,0.093511111,0.1696,0.09349872,0.90731937,100.10213,72,73.16666667,5098,2,1.939249112,52.3259,1,0.99061996,1,0.32463712,0,0.1,0,100,0,0,75,18,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5098,527,0,0,0,0.093688889,0,0,0,90.97689,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,19,100, 0.0++0.05=0.501(1)
100,7.11E-04,0,0.007590133,5098,527,5098,0,0,527,0,0.093688889,0.16977778,0.093664184,0.9060721,100.41736,75,70.26666667,5098,2,1.869104174,52.3259,1,0.991003008,1,0.3252256,0,0.1,0,100,0,0,75,19,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5070,555,0,0,0,0.098666667,0,0,0,91.353134,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,20,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001801802,5070,555,5069,1,1,554,0,0.098666667,0.17822222,0.098865874,0.9031532,99.441055,82,64.04878049,5069,2,1.781737197,52.3259,1,0.991947707,1,0.33971196,0,0.1,0,100,0,0,75,20,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5043,582,0,0,0,0.103466667,0,0,0,85.04501,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,21,100, 0.0++0.05=0.501(1)
100,0.001422222,0,0.013745705,5045,580,5039,6,4,576,0,0.103466667,0.18773334,0.10442693,0.90957904,99.94567,87,60.28735632,5045,2,1.768045395,52.3259,1,0.992659171,1,0.36134788,0,0.1,0,100,0,0,75,21,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5057,568,0,0,0,0.100977778,0,0,0,91.12846,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,22,100, 0.0++0.05=0.501(1)
100,0.001244444,1.98E-04,0.01056338,5060,565,5054,6,3,562,0,0.100977778,0.1816,0.10065256,0.90228873,100.85799,82,64.08536585,5060,2,1.848470563,52.3259,1,0.992090041,1,0.3513834,0,0.1,0,100,0,0,75,22,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5053,572,0,0,0,0.101688889,0,0,0,90.92381,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,23,100, 0.0++0.05=0.501(1)
100,0.001066667,0,0.01048951,5051,574,5048,3,5,569,0,0.101688889,0.18097778,0.100855924,0.8887675,98.68726,89,59.14606742,5051,2,1.782861953,52.3259,1,0.992587962,1,0.34032863,0,0.1,0,100,0,0,75,23,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5048,577,0,0,0,0.102577778,0,0,0,89.78531,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,24,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003466205,5049,576,5048,1,0,576,0,0.102577778,0.1848,0.10286252,0.90164644,99.88139,73,71.54794521,5049,2,1.952440458,52.3259,1,0.991185017,1,0.35650623,0,0.1,0,100,0,0,75,24,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5081,544,0,0,0,0.096711111,0,0,0,90.241554,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,25,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003676471,5080,545,5079,1,2,543,0,0.096711111,0.17493333,0.09685593,0.90418196,100.153404,77,68.2987013,5080,2,1.861745272,52.3259,1,0.991399939,1,0.3377953,0,0.1,0,100,0,0,75,25,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5050,575,0,0,0,0.102222222,0,0,0,90.284454,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,26,100, 0.0++0.05=0.501(1)
100,7.11E-04,0,0.006956522,5051,574,5048,3,2,572,0,0.102222222,0.18364444,0.102153465,0.89934784,99.94889,78,67.17948718,5051,2,1.940477801,52.3259,1,0.991733041,1,0.3551772,0,0.1,0,100,0,0,75,26,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5036,589,0,0,0,0.104711111,0,0,0,90.88915,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,27,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001697793,5037,588,5035,2,1,587,0,0.104711111,0.18737778,0.10449762,0.89601016,100.3447,96,54.73958333,5036,2,1.703901939,52.3259,1,0.993302389,1,0.35702938,0,0.1,0,100,0,0,75,27,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5069,556,0,0,0,0.098844444,0,0,0,90.53893,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,28,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001798561,5066,559,5066,0,3,556,0,0.098844444,0.17884444,0.099452555,0.90265286,100.849785,76,69.01315789,5066,2,1.852980553,52.3259,1,0.991345814,1,0.34228188,0,0.1,0,100,0,0,75,28,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5016,609,0,0,0,0.108266667,0,0,0,91.40396,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,29,100, 0.0++0.05=0.501(1)
100,8.89E-04,0,0.00821018,5019,606,5013,6,3,603,0,0.108266667,0.19315556,0.10795455,0.8949097,100.39439,94,55.69148936,5019,2,1.722314784,52.3259,1,0.993270254,1,0.36740386,0,0.1,0,100,0,0,75,29,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5041,584,0,0,0,0.103822222,0,0,0,90.68917,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,30,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003424658,5040,585,5039,1,2,583,0,0.103822222,0.18613334,0.10392284,0.89576197,99.7328,79,66.20253165,5040,2,1.88252461,52.3259,1,0.991890195,1,0.3593254,0,0.1,0,100,0,0,75,30,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5045,580,0,0,0,0.103111111,0,0,0,90.32368,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,31,100, 0.0++0.05=0.501(1)
100,0.001244444,1.98E-04,0.010344828,5045,580,5042,3,3,577,0,0.103111111,0.18391111,0.1024777,0.89224136,100.84411,87,60.45977011,5044,2,1.882323986,52.3259,1,0.992548333,1,0.35170498,0,0.1,0,100,0,0,75,31,100, 0.0++0.05=0.501(1)
