StepCounter, Dynamics, ConfDynamics, NConDynamics,  Zeros,  Ones, ConfZeros, NConfZeros, ConfOnes, NConfOnes, RealRatioA, RealRatioB, Stress, ConfStress, NConStress, frameRate, NofClusters, MnClustersSize, MaxClustersSize, MinClustersSize, MnClustersDiam, MaxClustersDiam, MinClustersDiam, MnClustersBRat, MaxClustersBRat, MinClustersBRat, RatioA, RatioB, Noise, MaxStrengh, Distribution, Bias, N, Repetition, from, Walk1D
0,0,0,0,3078,2547,3078,0,2547,0,0.4528,0,0.49697778,0.49697778, NaN,10.893975,395,13.27088608,1057,2,3.83570402,52.3259,1,0.978000105,1,0.77272725,0.45,0,2,100,0,0,75,0,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.4528,0,0,0, NaN,22.950209,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,0,100, 0.0++0.01=0.501(2)
0,0,0,0,3105,2520,3105,0,2520,0,0.448,0,0.49751112,0.49751112, NaN,23.061125,392,13.53061224,374,2,4.20755615,42.43819,1,0.979112013,1,0.73846155,0.45,0,2,100,0,0,75,1,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.448,0,0,0, NaN,35.549488,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,1,100, 0.0++0.01=0.501(2)
0,0,0,0,3106,2519,3106,0,2519,0,0.447822222,0,0.5000889,0.5000889, NaN,34.084103,379,13.87598945,614,2,4.160877863,52.3259,1,0.976958532,1,0.75,0.45,0,2,100,0,0,75,2,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.447822222,0,0,0, NaN,35.82655,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,2,100, 0.0++0.01=0.501(2)
0,0,0,0,3068,2557,3068,0,2557,0,0.454577778,0,0.49591112,0.49591112, NaN,34.502037,364,14.51923077,1409,2,4.043746625,52.3259,1,0.97696792,1,0.6976744,0.45,0,2,100,0,0,75,3,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.454577778,0,0,0, NaN,35.62555,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,3,100, 0.0++0.01=0.501(2)
0,0,0,0,3022,2603,3022,0,2603,0,0.462755556,0,0.49902222,0.49902222, NaN,34.46875,380,13.90789474,956,2,4.090266647,52.3259,1,0.979720448,1,0.78571427,0.45,0,2,100,0,0,75,4,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.462755556,0,0,0, NaN,35.500748,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,4,100, 0.0++0.01=0.501(2)
0,0,0,0,3119,2506,3119,0,2506,0,0.445511111,0,0.4952,0.4952, NaN,34.217247,344,15.29069767,734,2,4.17378673,52.3259,1,0.977374175,1,0.8,0.45,0,2,100,0,0,75,5,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.445511111,0,0,0, NaN,35.693546,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,5,100, 0.0++0.01=0.501(2)
0,0,0,0,3111,2514,3111,0,2514,0,0.446933333,0,0.49084446,0.49084446, NaN,34.442467,383,13.63185379,507,2,4.118510198,51.62364,1,0.977678559,1,0.72727275,0.45,0,2,100,0,0,75,6,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.446933333,0,0,0, NaN,35.703384,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,6,100, 0.0++0.01=0.501(2)
0,0,0,0,3077,2548,3077,0,2548,0,0.452977778,0,0.5010667,0.5010667, NaN,34.42852,392,13.31122449,384,2,4.278790601,45.80393,1,0.974540661,1,0.75,0.45,0,2,100,0,0,75,7,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.452977778,0,0,0, NaN,35.750534,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,7,100, 0.0++0.01=0.501(2)
0,0,0,0,3055,2570,3055,0,2570,0,0.456888889,0,0.4992889,0.4992889, NaN,34.43502,375,14.05866667,334,2,4.159124203,38.078865,1,0.977535471,1,0.78571427,0.45,0,2,100,0,0,75,8,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.456888889,0,0,0, NaN,35.228188,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,8,100, 0.0++0.01=0.501(2)
0,0,0,0,3086,2539,3086,0,2539,0,0.451377778,0,0.4961778,0.4961778, NaN,33.940315,385,13.69090909,665,2,4.132350968,50.24938,1,0.976485453,1,0.7419355,0.45,0,2,100,0,0,75,9,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.451377778,0,0,0, NaN,35.656532,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,9,100, 0.0++0.01=0.501(2)
0,0,0,0,3125,2500,3125,0,2500,0,0.444444444,0,0.49724445,0.49724445, NaN,34.39868,359,14.61002786,395,2,4.314017807,47.507893,1,0.978182638,1,0.6818182,0.45,0,2,100,0,0,75,10,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.444444444,0,0,0, NaN,35.662514,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,10,100, 0.0++0.01=0.501(2)
0,0,0,0,3106,2519,3106,0,2519,0,0.447822222,0,0.4977778,0.4977778, NaN,34.56897,385,13.63896104,525,2,4.25670771,49.57822,1,0.975504493,1,0.7692308,0.45,0,2,100,0,0,75,11,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.447822222,0,0,0, NaN,35.621,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,11,100, 0.0++0.01=0.501(2)
0,0,0,0,3056,2569,3056,0,2569,0,0.456711111,0,0.5007111,0.5007111, NaN,34.359222,398,13.19849246,762,2,4.140581149,52.3259,1,0.979260446,1,0.72,0.45,0,2,100,0,0,75,12,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.456711111,0,0,0, NaN,35.763386,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,12,100, 0.0++0.01=0.501(2)
0,0,0,0,3205,2420,3205,0,2420,0,0.430222222,0,0.49217778,0.49217778, NaN,34.52863,384,13.59635417,540,2,4.059555562,47.010635,1,0.97833656,1,0.7692308,0.45,0,2,100,0,0,75,13,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.430222222,0,0,0, NaN,35.824104,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,13,100, 0.0++0.01=0.501(2)
0,0,0,0,3114,2511,3114,0,2511,0,0.4464,0,0.49431112,0.49431112, NaN,34.5097,373,14.14745308,655,2,4.156580308,49.517673,1,0.978048202,1,0.7058824,0.45,0,2,100,0,0,75,14,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.4464,0,0,0, NaN,35.519966,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,14,100, 0.0++0.01=0.501(2)
0,0,0,0,3092,2533,3092,0,2533,0,0.450311111,0,0.49324444,0.49324444, NaN,34.274117,373,14.19571046,629,2,4.305253152,45.80393,1,0.976134701,1,0.6666667,0.45,0,2,100,0,0,75,15,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.450311111,0,0,0, NaN,35.439884,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,15,100, 0.0++0.01=0.501(2)
0,0,0,0,3085,2540,3085,0,2540,0,0.451555556,0,0.49377778,0.49377778, NaN,34.255775,370,14.24594595,1558,2,3.75030109,52.3259,1,0.983326245,1,0.81707317,0.45,0,2,100,0,0,75,16,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.451555556,0,0,0, NaN,35.6611,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,16,100, 0.0++0.01=0.501(2)
0,0,0,0,3032,2593,3032,0,2593,0,0.460977778,0,0.49724445,0.49724445, NaN,34.47472,382,13.81937173,587,2,4.185724752,49.57822,1,0.97669949,1,0.73333335,0.45,0,2,100,0,0,75,17,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.460977778,0,0,0, NaN,35.193527,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,17,100, 0.0++0.01=0.501(2)
0,0,0,0,3164,2461,3164,0,2461,0,0.437511111,0,0.48933333,0.48933333, NaN,34.02925,374,14.12299465,542,2,4.058265757,45.276924,1,0.974455062,1,0.7307692,0.45,0,2,100,0,0,75,18,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.437511111,0,0,0, NaN,27.520329,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,18,100, 0.0++0.01=0.501(2)
0,0,0,0,3085,2540,3085,0,2540,0,0.451555556,0,0.4960889,0.4960889, NaN,27.834534,385,13.62597403,887,2,4.076824437,52.3259,1,0.975989954,1,0.6666667,0.45,0,2,100,0,0,75,19,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.451555556,0,0,0, NaN,27.53591,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,19,100, 0.0++0.01=0.501(2)
0,0,0,0,3134,2491,3134,0,2491,0,0.442844444,0,0.49475557,0.49475557, NaN,27.84018,382,13.7591623,1713,2,3.612930925,52.3259,1,0.982376262,1,0.7777778,0.45,0,2,100,0,0,75,20,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.442844444,0,0,0, NaN,28.798626,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,20,100, 0.0++0.01=0.501(2)
0,0,0,0,3101,2524,3101,0,2524,0,0.448711111,0,0.4944,0.4944, NaN,28.343288,383,13.71801567,601,2,4.044115988,44.65423,1,0.977266553,1,0.72727275,0.45,0,2,100,0,0,75,21,100, 0.0++0.01=0.501(2)
2000,0,0, NaN,5625,0,5625,0,0,0,0.448711111,0,0,0, NaN,29.567474,1,5625,5625,5625,0,0,0,0,0,0,0.45,0,2,100,0,0,75,21,100, 0.0++0.01=0.501(2)
0,0,0,0,3061,2564,3061,0,2564,0,0.455822222,0,0.49795556,0.49795556, NaN,29.176023,407,12.86240786,368,2,3.993613952,36.359318,1,0.978253983,1,0.75,0.45,0,2,100,0,0,75,22,100, 0.0++0.01=0.501(2)
