StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
268	 0.009422222	 0.0045121266	 0.09477124	 4971	 654	 4953	 18	 366	 288	 0.1112	 0.066295356	 0.89174837	 8.532963	 26	 207.92307692307693	 4968	 2	 5.07557814854842	 52.3259	 1.0	 0.8862769661041406	 1.0	 0.2141707	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
269	 0.0065777777	 0.0030080841	 0.068627454	 4964	 661	 4947	 17	 372	 289	 0.111555554	 0.06655386	 0.89379084	 8.503283	 25	 216.36	 4961	 2	 5.4255184555053715	 52.3259	 1.0	 0.8823587584495545	 1.0	 0.21487603	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
270	 0.0090666665	 0.004888137	 0.08169935	 4969	 656	 4949	 20	 370	 286	 0.11066667	 0.06591935	 0.88848037	 8.419493	 26	 208.03846153846155	 4966	 2	 5.161405434975257	 52.3259	 1.0	 0.882719812484888	 1.0	 0.21345147	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
271	 0.005688889	 0.0016920473	 0.0751634	 4971	 654	 4956	 15	 363	 291	 0.1112	 0.06624836	 0.89256537	 8.5643215	 26	 207.8846153846154	 4967	 2	 5.135934311610002	 52.3259	 1.0	 0.8824181407690048	 1.0	 0.21381116	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
272	 0.0049777776	 0.0026320736	 0.045751635	 4977	 648	 4960	 17	 359	 289	 0.11111111	 0.065942846	 0.89624184	 8.451171	 26	 208.0	 4974	 2	 5.130169850129348	 52.3259	 1.0	 0.8830701542588381	 1.0	 0.21351026	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
273	 0.0076444442	 0.0035721	 0.078431375	 4974	 651	 4959	 15	 360	 291	 0.111377776	 0.06617785	 0.89705884	 8.434582	 27	 200.2962962962963	 4971	 2	 4.923187083668179	 52.3259	 1.0	 0.8862581275127552	 1.0	 0.2142426	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
274	 0.0053333333	 0.0024440684	 0.055555556	 4968	 657	 4954	 14	 365	 292	 0.11111111	 0.06606035	 0.8941994	 8.39204	 27	 200.33333333333334	 4965	 2	 4.969136030585678	 52.3259	 1.0	 0.8862306056199251	 1.0	 0.21409869	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
275	 0.0060444446	 0.0022560633	 0.07189543	 4972	 653	 4958	 14	 361	 292	 0.11093333	 0.065942846	 0.89297384	 8.501787	 27	 200.37037037037038	 4969	 2	 4.988339229866311	 52.3259	 1.0	 0.888766269992899	 1.0	 0.21372509	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
276	 0.0053333333	 0.002068058	 0.062091503	 4974	 651	 4955	 19	 364	 287	 0.11084444	 0.06601335	 0.89011437	 8.647736	 26	 208.07692307692307	 4971	 2	 5.231729553296016	 52.3259	 1.0	 0.8828078531301938	 1.0	 0.21303561	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
277	 0.0065777777	 0.0035721	 0.05882353	 4971	 654	 4954	 17	 365	 289	 0.11066667	 0.06608385	 0.8856209	 8.321418	 25	 216.4	 4969	 2	 5.446134233474732	 52.3259	 1.0	 0.8789649873971939	 1.0	 0.2133226	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
278	 0.006222222	 0.0033840947	 0.055555556	 4980	 645	 4960	 20	 359	 286	 0.110755555	 0.065989845	 0.8888889	 8.216204	 26	 208.03846153846155	 4978	 2	 5.165702375081869	 52.3259	 1.0	 0.8821563474260844	 1.0	 0.21253516	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
279	 0.0046222224	 0.002068058	 0.04901961	 4974	 651	 4959	 15	 360	 291	 0.11128889	 0.06636586	 0.89215684	 8.1377735	 26	 208.07692307692307	 4972	 2	 5.226064911255469	 52.3259	 1.0	 0.8813921173031514	 1.0	 0.21319388	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
280	 0.004088889	 0.0024440684	 0.03267974	 4967	 658	 4954	 13	 365	 293	 0.11128889	 0.066295356	 0.8933824	 8.261791	 26	 208.1153846153846	 4965	 2	 5.214715324915373	 52.3259	 1.0	 0.8807929226985345	 1.0	 0.21409869	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
281	 0.0067555555	 0.002820079	 0.0751634	 4967	 658	 4951	 16	 368	 290	 0.11093333	 0.06608385	 0.8905229	 8.433537	 26	 208.15384615384616	 4965	 2	 5.216002051646893	 52.3259	 1.0	 0.881965132860037	 1.0	 0.21409869	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
282	 0.0067555555	 0.0022560633	 0.08496732	 4969	 656	 4951	 18	 368	 288	 0.11031111	 0.06566084	 0.8864379	 8.33736	 26	 208.1153846153846	 4967	 2	 5.149828901657691	 52.3259	 1.0	 0.8801240015488404	 1.0	 0.2134085	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
283	 0.0076444442	 0.002820079	 0.09150327	 4966	 659	 4946	 20	 373	 286	 0.110755555	 0.06622485	 0.88480395	 8.230746	 25	 216.44	 4964	 2	 5.423410720825196	 52.3259	 1.0	 0.8771572613716125	 1.0	 0.21414182	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
