StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
0	 0.0	 0.0	 0.0	 3106	 2519	 2006	 1100	 1647	 872	 0.49653333	 0.49558583	 0.49828854	 9.638655	 395	 13.410126582278481	 345	 2	 4.300494714326496	 38.078865	 1.0	 0.9784511164773868	 1.0	 0.7894737	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
1	 0.38044444	 0.26991513	 0.5851927	 3060	 2565	 2128	 932	 1525	 1040	 0.46168888	 0.41017658	 0.5571121	 9.109929	 303	 17.422442244224424	 885	 2	 4.522447008504333	 52.3259	 1.0	 0.9679953453957838	 1.0	 0.6451613	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
2	 0.2865778	 0.19052833	 0.46450305	 2976	 2649	 2074	 902	 1579	 1070	 0.4495111	 0.37749794	 0.5829108	 8.792142	 251	 21.00398406374502	 569	 2	 5.183238521515135	 47.507893	 1.0	 0.9603460207878356	 1.0	 0.72727275	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
3	 0.25795555	 0.15466739	 0.44929007	 2985	 2640	 2069	 916	 1584	 1056	 0.4336	 0.35248426	 0.5838616	 8.6053505	 232	 22.69396551724138	 906	 2	 5.161011908074905	 52.3259	 1.0	 0.9530240841980638	 1.0	 0.6818182	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
4	 0.24	 0.12838763	 0.44675457	 2985	 2640	 2046	 939	 1607	 1033	 0.43315557	 0.34509307	 0.5962855	 8.626835	 223	 23.618834080717487	 1367	 2	 4.728259737181556	 52.3259	 1.0	 0.9607772164280639	 1.0	 0.7037037	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
5	 0.22666667	 0.12619765	 0.4127789	 3034	 2591	 2099	 935	 1554	 1037	 0.42906666	 0.33564878	 0.6021171	 8.71471	 218	 24.128440366972477	 1499	 2	 4.593420503336355	 52.3259	 1.0	 0.9594815482787036	 1.0	 0.6875	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
6	 0.2112	 0.1086778	 0.40111563	 3028	 2597	 2112	 916	 1541	 1056	 0.43244445	 0.3388311	 0.605857	 8.734468	 233	 22.527896995708154	 1527	 2	 4.50912330641767	 52.3259	 1.0	 0.9637947926705487	 1.0	 0.6909091	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
7	 0.20408888	 0.10758281	 0.38286003	 2978	 2647	 2083	 895	 1570	 1077	 0.42942223	 0.3332535	 0.60756844	 8.859474	 226	 23.309734513274336	 906	 2	 5.098754818460582	 49.57822	 1.0	 0.9513974999432016	 1.0	 0.7	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
8	 0.21031111	 0.109499045	 0.3970588	 2991	 2634	 2071	 920	 1582	 1052	 0.4288889	 0.33017382	 0.61175203	 8.90862	 210	 25.228571428571428	 1399	 2	 4.851596295265924	 52.3259	 1.0	 0.9591409112725939	 1.0	 0.6969697	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
9	 0.2048	 0.10347659	 0.39249492	 3047	 2578	 2085	 962	 1568	 1010	 0.42702222	 0.32948947	 0.6076952	 8.923557	 224	 23.616071428571427	 452	 2	 5.180712666894708	 45.221676	 1.0	 0.9508525103862796	 1.0	 0.7017544	 0.45	 0.35	 2.0	 1000.0	 0	 0.0	 75
