StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
0	 0.0	 0.0	 0.0	 3093	 2532	 2962	 131	 2396	 136	 0.4984889	 0.49892685	 0.48970038	 9.510793	 402	 13.124378109452737	 489	 2	 4.063360049060328	 49.57822	 1.0	 0.9787958707678971	 1.0	 0.75	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
1	 0.26648888	 0.25065324	 0.58426964	 3334	 2291	 3219	 115	 2139	 152	 0.34186667	 0.33184025	 0.54307115	 8.968098	 120	 44.708333333333336	 3064	 2	 5.5038027654091515	 52.3259	 1.0	 0.9204207385579745	 1.0	 0.64285713	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
2	 0.13511111	 0.12262038	 0.3857678	 3416	 2209	 3318	 98	 2040	 169	 0.2679111	 0.25020996	 0.62312734	 8.643049	 66	 82.54545454545455	 3321	 2	 7.256452918052673	 52.3259	 1.0	 0.8658218690843293	 1.0	 0.4680851	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
3	 0.093155555	 0.080253825	 0.35205993	 3530	 2095	 3440	 90	 1918	 177	 0.2312	 0.2080767	 0.6952247	 8.487465	 45	 121.55555555555556	 3460	 2	 8.641950527826944	 52.3259	 1.0	 0.8398909350236257	 1.0	 0.44219652	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
4	 0.06542222	 0.057297498	 0.22846442	 3592	 2033	 3505	 87	 1853	 180	 0.20595555	 0.18031448	 0.7205056	 8.491452	 37	 148.40540540540542	 3537	 2	 9.503910287006482	 52.3259	 1.0	 0.7965691234614398	 1.0	 0.39100933	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
5	 0.052977778	 0.041993283	 0.27340823	 3630	 1995	 3546	 84	 1812	 183	 0.19253333	 0.16578014	 0.72940075	 8.497336	 36	 153.02777777777777	 3590	 2	 9.519785434007645	 52.3259	 1.0	 0.7907318555646472	 1.0	 0.37019497	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
6	 0.045155555	 0.03564763	 0.23595506	 3698	 1927	 3611	 87	 1747	 180	 0.18373333	 0.15563177	 0.74765915	 8.561622	 33	 166.75757575757575	 3668	 2	 9.834732832330646	 52.3259	 1.0	 0.7596660157044729	 1.0	 0.35414395	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
7	 0.033244446	 0.024822695	 0.20224719	 3713	 1912	 3632	 81	 1726	 186	 0.17706667	 0.14872621	 0.7457865	 8.702399	 28	 196.46428571428572	 3687	 2	 11.066632313387734	 52.3259	 1.0	 0.7281990604741233	 1.0	 0.3411988	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
8	 0.04	 0.025382606	 0.33333334	 3736	 1889	 3658	 78	 1700	 189	 0.17146666	 0.14291713	 0.744382	 8.633706	 24	 229.25	 3707	 2	 11.681526919205984	 52.3259	 1.0	 0.7259908703466257	 1.0	 0.32964662	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
9	 0.036088888	 0.02743561	 0.20973782	 3757	 1868	 3677	 80	 1681	 187	 0.16533333	 0.13668813	 0.7401685	 8.454211	 24	 229.33333333333334	 3731	 2	 12.085295736789703	 52.3259	 1.0	 0.7144382148981094	 1.0	 0.3194854	 0.45	 0.05	 2.0	 1000.0	 0	 0.0	 75
