StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
0	 0.0	 0.0	 0.0	 3121	 2504	 2993	 128	 2380	 124	 0.5016889	 0.5009771	 0.5168651	 9.617118	 418	 12.55023923444976	 944	 2	 3.7814479418918845	 52.3259	 1.0	 0.9835175518213847	 1.0	 0.8095238	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
1	 0.26524445	 0.25218686	 0.5436508	 3421	 2204	 3314	 107	 2059	 145	 0.33546665	 0.3233994	 0.59275794	 9.052389	 129	 41.49612403100775	 3285	 2	 4.96685357703719	 52.3259	 1.0	 0.9179340217464654	 1.0	 0.625	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
2	 0.13368888	 0.12376698	 0.3452381	 3681	 1944	 3589	 92	 1784	 160	 0.25164443	 0.23241206	 0.6617063	 8.668513	 69	 79.02898550724638	 3639	 2	 7.197861735371576	 52.3259	 1.0	 0.8347818618235381	 1.0	 0.48255014	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
3	 0.08017778	 0.06774614	 0.3452381	 3806	 1819	 3729	 77	 1644	 175	 0.21217778	 0.1889773	 0.7068452	 8.377371	 55	 99.98181818181818	 3787	 2	 8.132420069521123	 52.3259	 1.0	 0.7883989426222715	 1.0	 0.40454185	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
4	 0.058311112	 0.04708729	 0.29761904	 3918	 1707	 3844	 74	 1529	 178	 0.19315556	 0.16771357	 0.7356151	 8.460195	 44	 125.13636363636364	 3902	 2	 9.385797598145224	 52.3259	 1.0	 0.7305767556483095	 1.0	 0.36032805	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
5	 0.04568889	 0.03647869	 0.24206349	 4007	 1618	 3920	 87	 1453	 165	 0.18142222	 0.15487158	 0.74751985	 8.50922	 40	 137.625	 3989	 2	 9.859039479494095	 52.3259	 1.0	 0.7219573251903058	 1.0	 0.33492103	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
6	 0.039644446	 0.029964639	 0.24603175	 4046	 1579	 3979	 67	 1394	 185	 0.17351112	 0.14610088	 0.75793654	 8.435091	 40	 137.725	 4031	 2	 9.440052902698516	 52.3259	 1.0	 0.7079828687012195	 1.0	 0.32200447	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
7	 0.04337778	 0.033686955	 0.25	 4132	 1493	 4068	 64	 1305	 188	 0.1639111	 0.13602737	 0.75843257	 8.473121	 38	 144.89473684210526	 4121	 2	 9.268054660997892	 52.3259	 1.0	 0.7028281398509678	 1.0	 0.30332443	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
8	 0.03271111	 0.02549786	 0.18650794	 4148	 1477	 4093	 55	 1280	 197	 0.16106667	 0.13263075	 0.7673611	 8.371182	 37	 148.8108108108108	 4136	 2	 9.245067248473296	 52.3259	 1.0	 0.703587956525184	 1.0	 0.297147	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
9	 0.03271111	 0.025311744	 0.1904762	 4206	 1419	 4151	 55	 1222	 197	 0.15546666	 0.12693095	 0.7638889	 8.337664	 36	 152.83333333333334	 4198	 2	 9.171656419833502	 52.3259	 1.0	 0.6888672353492843	 1.0	 0.28513578	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
10	 0.028088888	 0.018983807	 0.22222222	 4226	 1399	 4173	 53	 1200	 199	 0.15057778	 0.12162665	 0.76785713	 8.215406	 31	 177.32258064516128	 4217	 2	 10.345968465651236	 52.3259	 1.0	 0.6544316920541948	 1.0	 0.27697414	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
11	 0.032	 0.021217197	 0.26190478	 4262	 1363	 4207	 55	 1166	 197	 0.14684445	 0.1176019	 0.7703373	 8.03125	 31	 177.61290322580646	 4254	 2	 10.132567686419334	 52.3259	 1.0	 0.652915463332207	 1.0	 0.26751292	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
12	 0.02631111	 0.016936535	 0.22619048	 4294	 1331	 4236	 58	 1137	 194	 0.14346667	 0.114647314	 0.75793654	 8.2178955	 33	 167.03030303030303	 4287	 2	 9.51098831133409	 52.3259	 1.0	 0.6709435284137726	 1.0	 0.26078844	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
13	 0.027377779	 0.018239345	 0.22222222	 4324	 1301	 4268	 56	 1105	 196	 0.14311111	 0.11357714	 0.77281743	 8.40817	 31	 177.58064516129033	 4317	 2	 9.915772753377114	 52.3259	 1.0	 0.6612478542712427	 1.0	 0.25804958	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
14	 0.025955556	 0.017867113	 0.1984127	 4338	 1287	 4290	 48	 1083	 204	 0.14204444	 0.111809045	 0.7867063	 8.273628	 31	 177.61290322580646	 4329	 2	 9.658290605391226	 52.3259	 1.0	 0.6818547787204865	 1.0	 0.25617924	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
15	 0.027022222	 0.017867113	 0.22222222	 4374	 1251	 4320	 54	 1053	 198	 0.13893333	 0.10904057	 0.7762897	 8.332812	 31	 177.51612903225808	 4366	 2	 9.634001854927309	 52.3259	 1.0	 0.6809065091994501	 1.0	 0.25080165	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
16	 0.02631111	 0.01805323	 0.20238096	 4422	 1203	 4363	 59	 1010	 193	 0.13493334	 0.10510888	 0.7708333	 8.261482	 31	 177.38709677419354	 4414	 2	 9.213935029122137	 52.3259	 1.0	 0.6825957822222863	 1.0	 0.24444948	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
17	 0.021511111	 0.013772567	 0.18650794	 4441	 1184	 4387	 54	 986	 198	 0.1352	 0.104946025	 0.78025794	 8.169643	 31	 177.3548387096774	 4432	 2	 9.225135222558052	 52.3259	 1.0	 0.6815596583389467	 1.0	 0.24277978	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
18	 0.028444445	 0.018983807	 0.23015873	 4471	 1154	 4423	 48	 950	 204	 0.13404444	 0.103340775	 0.78869045	 8.354991	 29	 189.51724137931035	 4462	 2	 9.615680324620214	 52.3259	 1.0	 0.6868006977541693	 1.0	 0.23935455	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
19	 0.020266667	 0.012469756	 0.18650794	 4487	 1138	 4442	 45	 931	 207	 0.13395555	 0.1027359	 0.79960316	 8.519383	 29	 189.44827586206895	 4478	 2	 9.450907452353116	 52.3259	 1.0	 0.6973289739469002	 1.0	 0.23849933	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
20	 0.020266667	 0.011353062	 0.21031746	 4487	 1138	 4449	 38	 924	 214	 0.1328	 0.101293504	 0.80456346	 8.513908	 29	 189.48275862068965	 4478	 2	 9.333056067598276	 52.3259	 1.0	 0.7027352508799783	 1.0	 0.23738275	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
21	 0.024533333	 0.015447608	 0.21825397	 4513	 1112	 4470	 43	 903	 209	 0.13155556	 0.100060485	 0.8030754	 8.658255	 31	 177.09677419354838	 4504	 2	 8.617091378858012	 52.3259	 1.0	 0.7076541185379028	 1.0	 0.23423624	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
22	 0.0192	 0.011539177	 0.18253969	 4525	 1100	 4480	 45	 893	 207	 0.13102221	 0.09947888	 0.8035714	 8.470369	 30	 183.16666666666666	 4517	 2	 8.966841212908427	 52.3259	 1.0	 0.7028490538398425	 1.0	 0.23267655	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
23	 0.020622222	 0.014703145	 0.1468254	 4537	 1088	 4493	 44	 880	 208	 0.13022222	 0.098804206	 0.8000992	 8.449666	 30	 183.16666666666666	 4529	 2	 8.746084308624267	 52.3259	 1.0	 0.7056346287329992	 1.0	 0.23161846	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
24	 0.022933334	 0.014144798	 0.21031746	 4548	 1077	 4499	 49	 874	 203	 0.12986666	 0.098083004	 0.8075397	 8.6033	 28	 196.07142857142858	 4539	 2	 9.300555578299932	 52.3259	 1.0	 0.6830275787838868	 1.0	 0.22868474	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
25	 0.01991111	 0.012469756	 0.17857143	 4562	 1063	 4520	 42	 853	 210	 0.12924445	 0.09698958	 0.81696427	 8.493302	 29	 189.20689655172413	 4552	 2	 8.908226498242083	 52.3259	 1.0	 0.6952552050352097	 1.0	 0.22891037	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
26	 0.018311111	 0.010608599	 0.18253969	 4575	 1050	 4539	 36	 834	 216	 0.128	 0.09582636	 0.8139881	 8.60236	 29	 189.24137931034483	 4565	 2	 8.848584281987158	 52.3259	 1.0	 0.6996658002508098	 1.0	 0.22760132	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
27	 0.019555556	 0.014144798	 0.13492064	 4607	 1018	 4565	 42	 808	 210	 0.12613334	 0.09398846	 0.81150794	 8.734736	 29	 189.17241379310346	 4598	 2	 8.57283117853362	 52.3259	 1.0	 0.7065434897768086	 1.0	 0.2246629	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
28	 0.022044444	 0.013214219	 0.21031746	 4623	 1002	 4582	 41	 791	 211	 0.124977775	 0.092778705	 0.81150794	 8.587061	 27	 203.11111111111111	 4617	 2	 9.029859851907801	 52.3259	 1.0	 0.6879301523720777	 1.0	 0.22352177	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
29	 0.019733334	 0.0120975245	 0.18253969	 4634	 991	 4597	 37	 776	 215	 0.12417778	 0.09166201	 0.8174603	 8.551377	 26	 210.84615384615384	 4628	 2	 9.255416425374838	 52.3259	 1.0	 0.6743663526498355	 1.0	 0.22126189	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
30	 0.016	 0.009491904	 0.15476191	 4644	 981	 4606	 38	 767	 214	 0.122666664	 0.0903592	 0.81150794	 8.691013	 26	 210.8846153846154	 4639	 2	 9.08553256896826	 52.3259	 1.0	 0.6708956830776655	 1.0	 0.22052166	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
31	 0.0176	 0.0117252935	 0.14285715	 4661	 964	 4623	 38	 750	 214	 0.123111114	 0.09028941	 0.8229167	 8.532519	 27	 202.88888888888889	 4656	 2	 8.57126967995255	 52.3259	 1.0	 0.6808773510985904	 1.0	 0.22143471	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
32	 0.017066667	 0.00967802	 0.17460318	 4665	 960	 4631	 34	 742	 218	 0.12222222	 0.0893123	 0.82390875	 8.528854	 26	 210.73076923076923	 4660	 2	 8.8613146176705	 52.3259	 1.0	 0.6799003407359123	 1.0	 0.21974249	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
33	 0.0176	 0.009864136	 0.18253969	 4680	 945	 4642	 38	 731	 214	 0.12222222	 0.089056395	 0.8293651	 8.433162	 26	 210.69230769230768	 4675	 2	 8.880569577217102	 52.3259	 1.0	 0.6865505249454424	 1.0	 0.21903743	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
34	 0.020266667	 0.013400335	 0.16666667	 4714	 911	 4678	 36	 695	 216	 0.12026667	 0.08693933	 0.83085316	 8.580708	 28	 195.57142857142858	 4709	 2	 8.048188754490443	 52.3259	 1.0	 0.7103008883340018	 1.0	 0.21596941	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
35	 0.017955555	 0.010608599	 0.17460318	 4731	 894	 4693	 38	 680	 214	 0.11964445	 0.08607854	 0.83531743	 8.506134	 27	 202.62962962962962	 4726	 2	 8.098165498839485	 52.3259	 1.0	 0.7016120486789279	 1.0	 0.21455777	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
36	 0.018666666	 0.012655872	 0.1468254	 4754	 871	 4717	 37	 656	 215	 0.11875556	 0.08510143	 0.83630955	 8.650649	 27	 202.8148148148148	 4748	 2	 8.204072599057797	 52.3259	 1.0	 0.724401570028729	 1.0	 0.21251053	 0.45	 0.05	 2.0	 1000.0	 0	 4.0	 75
