StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
204	 0.41546667	 0.3136574	 0.43394244	 2807	 2818	 439	 2368	 425	 2393	 0.57431114	 0.5005787	 0.58769166	 8.570956	 568	 9.454225352112676	 120	 2	 4.0177002851392185	 25.942244	 1.0	 0.9936076925254204	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
205	 0.42524445	 0.36342594	 0.43646294	 2791	 2834	 417	 2374	 447	 2387	 0.57582223	 0.4887153	 0.5916299	 8.328762	 512	 10.525390625	 126	 2	 4.246634783688933	 28.319605	 1.0	 0.9942283941200003	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
206	 0.42026666	 0.31944445	 0.43856332	 2841	 2784	 445	 2396	 419	 2365	 0.57226664	 0.48885995	 0.5874029	 8.339188	 542	 9.896678966789668	 127	 2	 4.077911659580315	 34.828148	 1.0	 0.9934262509055684	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
207	 0.42293334	 0.36574075	 0.43331233	 2824	 2801	 451	 2373	 413	 2388	 0.57004446	 0.4861111	 0.5852762	 8.342443	 557	 9.612208258527827	 151	 2	 3.901755420267047	 28.79236	 1.0	 0.9918309366681631	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
208	 0.42346665	 0.3425926	 0.43814325	 2816	 2809	 437	 2379	 427	 2382	 0.5705778	 0.49898726	 0.58356965	 8.371273	 527	 10.214421252371917	 264	 2	 4.076613775014425	 41.14608	 1.0	 0.9948050601432626	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
209	 0.43057778	 0.3125	 0.4520059	 2808	 2817	 437	 2371	 427	 2390	 0.57075554	 0.4921875	 0.5850136	 8.389736	 508	 10.578740157480315	 127	 2	 4.257864373171423	 24.41311	 1.0	 0.9935741762476643	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
210	 0.41084445	 0.3101852	 0.42911154	 2821	 2804	 437	 2384	 427	 2377	 0.57662225	 0.49855325	 0.59078974	 8.406319	 559	 9.595706618962433	 175	 2	 3.9791242208378472	 34.20526	 1.0	 0.9947411284677031	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
211	 0.42346665	 0.375	 0.43226212	 2787	 2838	 431	 2356	 433	 2405	 0.57395554	 0.4934896	 0.5885581	 8.436101	 558	 9.589605734767025	 186	 2	 3.9506944447862633	 26.925823	 1.0	 0.9939124127015418	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
212	 0.41937777	 0.3564815	 0.43079185	 2814	 2811	 431	 2383	 433	 2378	 0.5736	 0.49320024	 0.5881905	 8.591198	 510	 10.60392156862745	 108	 2	 4.172172146918727	 28.86174	 1.0	 0.9953358652544957	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
213	 0.41511112	 0.33333334	 0.4299517	 2797	 2828	 409	 2388	 455	 2373	 0.57413334	 0.48104745	 0.59102607	 8.594781	 524	 10.301526717557252	 149	 2	 4.131982986253637	 27.658634	 1.0	 0.993207779435711	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
