StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
0	 0.0	 0.0	 0.0	 3023	 2602	 2889	 134	 2480	 122	 0.49653333	 0.49578598	 0.51220703	 9.60977	 406	 13.039408866995075	 623	 2	 4.155591296444973	 52.3259	 1.0	 0.9745902749411578	 1.0	 0.6875	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
1	 0.25795555	 0.24660085	 0.49609375	 3182	 2443	 3079	 103	 2290	 153	 0.34737778	 0.33637547	 0.578125	 9.049756	 113	 47.6283185840708	 2855	 2	 5.812455590847319	 52.3259	 1.0	 0.9112782905587052	 1.0	 0.64285713	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
2	 0.13457778	 0.12199665	 0.3984375	 3327	 2298	 3224	 103	 2145	 153	 0.27555555	 0.2574269	 0.6557617	 8.727938	 66	 82.92424242424242	 3053	 2	 7.707042912642161	 52.3259	 1.0	 0.8595603027127006	 1.0	 0.5283019	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
3	 0.092266664	 0.07990315	 0.3515625	 3414	 2211	 3309	 105	 2060	 151	 0.23644444	 0.21556622	 0.6743164	 8.56365	 51	 108.17647058823529	 3247	 2	 8.519314240006839	 52.3259	 1.0	 0.8227007412442974	 1.0	 0.46134895	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
4	 0.064	 0.052523747	 0.3046875	 3474	 2151	 3373	 101	 1996	 155	 0.21315555	 0.19065468	 0.6850586	 8.461947	 35	 157.77142857142857	 3445	 2	 9.779842836516243	 52.3259	 1.0	 0.8216816834041051	 1.0	 0.41828737	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
5	 0.05848889	 0.04637735	 0.3125	 3569	 2056	 3466	 103	 1903	 153	 0.19413333	 0.1701667	 0.69677734	 8.327344	 33	 167.5151515151515	 3543	 2	 10.54141335776358	 52.3259	 1.0	 0.7912202974160513	 1.0	 0.37595257	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
6	 0.048	 0.036133356	 0.296875	 3639	 1986	 3542	 97	 1827	 159	 0.18302222	 0.15773422	 0.7133789	 8.245218	 27	 204.40740740740742	 3610	 2	 11.46756798249704	 52.3259	 1.0	 0.7528759914415853	 1.0	 0.3468144	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
7	 0.04622222	 0.034270816	 0.296875	 3675	 1950	 3584	 91	 1785	 165	 0.17537777	 0.14949246	 0.7182617	 8.253138	 26	 212.07692307692307	 3647	 2	 12.244921803474426	 52.3259	 1.0	 0.7472934195628533	 1.0	 0.33315054	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
8	 0.0416	 0.029800707	 0.2890625	 3707	 1918	 3624	 83	 1745	 173	 0.16906667	 0.14218198	 0.73291016	 8.233745	 26	 212.26923076923077	 3683	 2	 12.551086535820595	 52.3259	 1.0	 0.7385122959430401	 1.0	 0.32256314	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
9	 0.031644445	 0.023281803	 0.20703125	 3755	 1870	 3675	 80	 1694	 176	 0.16417778	 0.13647793	 0.7451172	 8.152135	 22	 250.5909090909091	 3730	 2	 14.356638718735088	 52.3259	 1.0	 0.7045110396363519	 1.0	 0.31072387	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
10	 0.031644445	 0.021791767	 0.23828125	 3765	 1860	 3678	 87	 1691	 169	 0.1608889	 0.1327994	 0.75	 8.327562	 21	 262.3809523809524	 3739	 2	 14.739056240944635	 52.3259	 1.0	 0.6936982103756496	 1.0	 0.3030222	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
11	 0.0352	 0.024399329	 0.26171875	 3801	 1824	 3717	 84	 1652	 172	 0.15724444	 0.1287018	 0.7558594	 8.147735	 21	 262.42857142857144	 3773	 2	 13.472740899948846	 52.3259	 1.0	 0.7262563407421112	 1.0	 0.29393056	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
12	 0.031111112	 0.019929223	 0.265625	 3834	 1791	 3746	 88	 1623	 168	 0.15297778	 0.124557644	 0.74902344	 8.319764	 21	 262.3333333333333	 3806	 2	 13.299359049115862	 52.3259	 1.0	 0.7329780033656529	 1.0	 0.28560168	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
13	 0.0304	 0.018252933	 0.28515625	 3861	 1764	 3770	 91	 1599	 165	 0.15066667	 0.12164742	 0.75927734	 8.535234	 20	 275.65	 3835	 2	 13.820171612501145	 52.3259	 1.0	 0.7209312096238136	 1.0	 0.27979138	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
14	 0.028977778	 0.01899795	 0.23828125	 3876	 1749	 3788	 88	 1581	 168	 0.14871112	 0.119505495	 0.76123047	 8.646132	 19	 290.1578947368421	 3851	 2	 14.25740667393333	 52.3259	 1.0	 0.7092827778113516	 1.0	 0.27551284	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
15	 0.031111112	 0.01974297	 0.26953125	 3895	 1730	 3806	 89	 1563	 167	 0.1464	 0.116921216	 0.76464844	 8.782359	 19	 289.89473684210526	 3869	 2	 14.012774235323855	 52.3259	 1.0	 0.7109993680527336	 1.0	 0.27138796	 0.45	 0.05	 2.0	 1000.0	 0	 7.0	 75
